feature,coefficient,importance
classe_dpe,-1.8175297265127393,44.52430580239896
surface_med,-1.1460975030018279,28.07612715139907
nb_dpe,-0.6358159154035443,15.575680462611247
pct_elec_chauffage,0.4826636813601576,11.823886583590731
