classe_dpe,n_logements,ecart_moyen_%,ecart_std_%,ecart_min_%,ecart_max_%,cv_%
A,7,-64.04285714285713,3.0740077764253955,-67.1,-59.5,-4.7999229165687645
B,12,403.9583333333333,434.5877533695444,190.5,1768.5,107.58232161804091
C,331,210.96435045317224,336.6151506310278,-60.9,3430.1,159.56020527067497
D,593,223.0391231028668,301.7283712001037,-48.5,1572.9,135.28046873684355
E,746,307.2746648793565,347.2860799548759,-39.2,2069.2,113.0213843341848
F,373,412.250402144772,430.1087583529713,-48.1,2973.7,104.33191965739499
G,182,354.89835164835165,453.1081743045222,-11.6,2289.3,127.67266238347621
